gene,moduleLPV
Mcavernosa05581,0
Mcavernosa05585,0
Mcavernosa05580,0
Mcavernosa05589,0
Mcavernosa05587,0
Mcavernosa05586,0
Mcavernosa05590,0
Mcavernosa05604,0
Mcavernosa05602,0
Mcavernosa05591,0
Mcavernosa05601,0
Mcavernosa05600,0
Mcavernosa05608,0
Mcavernosa05606,0
Mcavernosa05607,0
Mcavernosa05605,0
Mcavernosa05599,0
Mcavernosa05610,0
Mcavernosa05615,0
Mcavernosa05612,0
Mcavernosa05623,0
Mcavernosa05611,0
Mcavernosa05624,0
Mcavernosa05617,0
Mcavernosa05621,0
Mcavernosa05619,0
Mcavernosa05613,0
Mcavernosa05618,0
Mcavernosa05625,0
Mcavernosa05622,0
Mcavernosa05620,0
Mcavernosa05626,0
Mcavernosa05628,0
Mcavernosa05632,0
Mcavernosa05630,0
Mcavernosa05631,0
Mcavernosa05629,0
Mcavernosa05633,0
Mcavernosa05634,0
Mcavernosa05638,0
Mcavernosa05650,0
Mcavernosa05643,0
Mcavernosa05649,0
Mcavernosa05647,0
Mcavernosa05648,0
Mcavernosa05645,0
Mcavernosa05635,0
Mcavernosa05640,0
Mcavernosa05639,0
Mcavernosa05637,0
Mcavernosa05642,0
Mcavernosa05646,0
Mcavernosa05652,0
Mcavernosa05653,0
Mcavernosa05655,0
Mcavernosa05654,0
Mcavernosa05662,0
Mcavernosa05656,0
Mcavernosa05672,0
Mcavernosa05674,0
Mcavernosa05670,0
Mcavernosa05666,0
Mcavernosa05658,0
Mcavernosa05661,0
Mcavernosa05667,0
Mcavernosa05659,0
Mcavernosa05669,0
Mcavernosa05676,0
Mcavernosa05677,0
Mcavernosa05675,0
Mcavernosa05673,0
Mcavernosa05678,0
Mcavernosa05684,0
Mcavernosa05687,0
Mcavernosa05680,0
Mcavernosa05690,0
Mcavernosa05689,0
Mcavernosa05688,0
Mcavernosa05693,0
Mcavernosa05692,0
Mcavernosa05691,0
Mcavernosa05698,0
Mcavernosa05695,0
Mcavernosa05694,0
Mcavernosa05697,0
Mcavernosa05699,0
Mcavernosa05701,0
Mcavernosa05700,0
Mcavernosa05708,0
Mcavernosa05702,0
Mcavernosa05706,0
Mcavernosa05710,0
Mcavernosa05713,0
Mcavernosa05712,0
Mcavernosa05711,0
Mcavernosa05715,0
Mcavernosa05716,0
Mcavernosa05719,0
Mcavernosa05728,0
Mcavernosa05724,0
Mcavernosa05729,0
Mcavernosa05727,0
Mcavernosa05734,0
Mcavernosa05731,0
Mcavernosa05736,0
Mcavernosa05733,0
Mcavernosa05732,0
Mcavernosa05735,0
Mcavernosa05737,0
Mcavernosa05744,0
Mcavernosa05743,0
Mcavernosa05742,0
Mcavernosa05752,0
Mcavernosa05745,0
Mcavernosa05747,0
Mcavernosa05746,0
Mcavernosa05753,0
Mcavernosa05755,0
Mcavernosa05757,0
Mcavernosa05754,0
Mcavernosa05750,0
Mcavernosa05749,0
Mcavernosa05764,0
Mcavernosa05761,0
Mcavernosa05763,0
Mcavernosa05758,0
Mcavernosa05762,0
Mcavernosa05769,0
Mcavernosa05765,0
Mcavernosa05771,0
Mcavernosa05770,0
Mcavernosa05768,0
Mcavernosa05781,0
Mcavernosa05773,0
Mcavernosa05774,0
Mcavernosa05772,0
Mcavernosa05782,0
Mcavernosa05784,0
Mcavernosa05780,0
Mcavernosa05783,0
Mcavernosa05785,0
Mcavernosa05788,0
Mcavernosa05787,0
Mcavernosa05786,0
Mcavernosa05792,0
Mcavernosa05790,0
Mcavernosa05789,0
Mcavernosa05791,0
Mcavernosa05802,0
Mcavernosa05800,0
Mcavernosa05794,0
